|user_id|Action|Casual|Indie|Simulation|Strategy|Free to Play|RPG|Sports|Adventure|Racing|Early Access|Massively Multiplayer|Animation &amp; Modeling|Video Production|Utilities|Web Publishing|Education|Software Training|Design &amp; Illustration|Audio Production|Photo Editing|Accounting
0|76561197970982479|0.8742696032505939|0.019236283610102146|0.13499500477031523|0.1509394062720316|0.29900450533314704|0.021428551821817837|0.27692871242025124|0.006736875012510447|0.13326206894581616|2.7838326497977055e-05|0.003305801271634775|0.09954289597514145|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1|js41637|0.6171888641693667|0.17818935414043535|0.49581278634207687|0.14519075892374467|0.21155515292045077|0.011092607642100731|0.18969889082839436|0.021519658825675417|0.48765780720657387|0.021228956004710017|0.02694356145895088|0.009906846135531342|0.0|0.0|0.0018666181135672953|0.0|0.0|0.0|0.0|0.0|0.0|0.0
2|evcentric|0.499507518158678|0.27878466005563296|0.544360503639229|0.30823577597430607|0.3511590190156055|0.07302361809841233|0.3700416389585637|0.010200582463932333|0.10917292412865627|0.0|0.028307698435976292|0.05507881691097834|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
3|Riot-Punch|0.963891384589265|0.02272015372821506|0.09267743752796745|0.04037653463203709|0.04214365769978715|0.0008167375523214564|0.1245005025211471|0.017671230677500604|0.20479322880118556|0.025452512085072296|5.939909471428774e-05|0.0005642913997857336|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
4|doctr|0.87379495702109|0.018018656224249814|0.11010227202692985|0.08096563162678856|0.1771735927565952|0.04929775879739642|0.28519467618351496|0.02997334160380017|0.3178725065264145|0.007386634868665261|0.010171413117206684|0.014954977574488763|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5|MinxIsBetterThanPotatoes|0.8968331090558135|0.0046326596558811505|0.19569067576249655|0.059994018476560405|0.12032003910496897|0.13890447437346895|0.2006338189122357|0.03477415131209527|0.2289262430282955|0.014260722059477543|0.059975573912568844|0.14944093155364988|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6|NitemarePK|0.7046039018787279|0.266155715097974|0.5102457217817193|0.08038373368658293|0.09366591354116063|0.24617841451726494|0.2644690145080223|0.013566428839792402|0.16150980356595795|0.017080779929719576|1.8793321336508954e-05|0.0002067265347015985|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7|themanwich|0.689531308092926|0.04712244260546915|0.530642222974547|0.1593511845431347|0.17964261371373705|0.025070356132949452|0.3592501312686319|0.08901263286354602|0.1928416941183102|0.08750934739313819|0.0|0.02494751957700173|1.1698719614068806e-05|0.0|1.1698719614068806e-05|1.1698719614068806e-05|2.3397439228137612e-05|0.0|1.1698719614068806e-05|0.0|0.0|0.0
8|maplemage|0.6731543322979996|0.07003594197493469|0.5333944158442161|0.10202706735403767|0.2579925538849817|0.28030507792210513|0.2037954299552237|0.16866332451796887|0.1777042947338023|0.0052410539342417775|0.0012387392283602808|0.01789628172667924|1.8261511965999227e-05|1.8261511965999227e-05|1.217434131066615e-05|0.0|0.0|0.0|1.8261511965999227e-05|0.0|0.0|0.0
9|Wackky|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
